LOINC #,Long Common Name,Short Name,CLASS,Rank
33022-5,Carbon dioxide [Partial pressure] in Capillary blood by Transcutaneous CO2 monitor,pCO2 BldC TcCo2,Chem,866
13438-7,Protein Fractions [interpretation] in Urine by Electrophoresis,Prot Pattern Ur Elph-Imp,Chem,867
8117-4,CD19 cells/100 cells in Blood,CD19 Cells NFr Bld,CELLMARK,868
38527-8,Number of specimens received of Stool,# Spec Recd Stl,SPEC,869
35597-4,Salicylates [Mass/volume] in Serum or Plasma by Screen method,Salicylates SerPl Scn-mCnc,DRUG/TOX,870
3665-7,Gentamicin [Mass/volume] in Serum or Plasma --trough,Gentamicin Trough SerPl-mCnc,DRUG/TOX,871
1501-6,Glucose [Mass/volume] in Serum or Plasma --1 hour post 100 g glucose PO,Glucose 1h p 100 g Glc PO SerPl-mCnc,CHAL,872
13527-7,Unidentified cells/100 leukocytes in Cerebral spinal fluid by Manual count,Unident Cells/leuk NFr CSF Manual,HEM/BC,873
32765-0,Yeast [Presence] in Unspecified specimen by Wet preparation,Yeast XXX Ql Wet Prep,MICRO,874
20563-3,Carboxyhemoglobin/Hemoglobin.total in Blood,COHgb MFr Bld,Chem,875
1507-3,Glucose [Mass/volume] in Serum or Plasma --1 hour post 75 g glucose PO,Glucose 1h p 75 g Glc PO SerPl-mCnc,CHAL,876
14836-1,Methotrexate [Moles/volume] in Serum or Plasma,MTX SerPl-sCnc,DRUG/TOX,877
6924-5,Gliadin IgA Ab [Units/volume] in Serum,Gliadin IgA Ser-aCnc,SERO,878
18983-7,Streptomycin.high potency [Susceptibility],Streptomycin High Pot Susc Islt,ABXBACT,879
20437-0,Glucose [Mass/volume] in Serum or Plasma --3 hours post dose glucose,Glucose 3h p Glc SerPl-mCnc,CHAL,880
5876-8,Respiratory syncytial virus Ag [Presence] in Unspecified specimen by Immunoassay,RSV Ag XXX Ql IA,MICRO,881
56490-6,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method --2nd specimen,Occult Bld sp2 Stl Ql Imm,Chem,882
56491-4,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method --3rd specimen,Occult Bld sp3 Stl Ql Imm,Chem,883
20436-2,Glucose [Mass/volume] in Serum or Plasma --2 hours post dose glucose,Glucose 2h p Glc SerPl-mCnc,CHAL,884
8665-2,Date last menstrual period,LMP Start date,H&P.HX,885
27819-2,Protein C actual/normal in Platelet poor plasma by Coagulation assay,Prot C Act/Nor PPP,COAG,886
5076-5,Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay,Cardiolipin IgA Ser IA-aCnc,COAG,887
26486-1,Monocytes/100 leukocytes in Cerebral spinal fluid,Monocytes/leuk NFr CSF,HEM/BC,888
1884-6,Apolipoprotein B [Mass/volume] in Serum or Plasma,Apo B SerPl-mCnc,Chem,889
29953-7,Nuclear Ab [Titer] in Serum,ANA Titr Ser,SERO,890
7291-8,Whole Egg IgE Ab [Units/volume] in Serum,Whole Egg IgE Qn,Allergy,891
5645-7,Ethanol [Mass/volume] in Urine,Ethanol Ur-mCnc,DRUG/TOX,892
11545-1,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain,Acid fast Stn XXX,MICRO,893
6473-3,Microscopic observation [Identifier] in Tissue by Trichrome stain,Tri Stn Tiss,MICRO,894
20460-2,Cefuroxime Oral [Susceptibility] by Minimum inhibitory concentration (MIC),Cefuroxime Oral Islt MIC,ABXBACT,895
1514-9,Glucose [Mass/volume] in Serum or Plasma --2 hours post 100 g glucose PO,Glucose 2h p 100 g Glc PO SerPl-mCnc,CHAL,896
21033-6,Yeast.budding [Presence] in Urine sediment,Yeast Budding UrnS Ql,UA,897
19941-4,Oxygen gas flow Oxygen delivery system,Gas flow.O2 O2 delivery sys,PULM,898
6073-1,Chocolate IgE Ab [Units/volume] in Serum,Chocolate IgE Qn,Allergy,899
12208-5,Eosinophils/100 leukocytes in Cerebral spinal fluid by Manual count,Eosinophil/leuk NFr CSF Manual,HEM/BC,900
12278-8,Neutrophils.band form/100 leukocytes in Cerebral spinal fluid by Manual count,Neuts Band/leuk NFr CSF Manual,HEM/BC,901
6874-2,Calcium [Mass/time] in 24 hour Urine,Calcium 24h Ur-mRate,Chem,902
13519-4,Basophils/100 leukocytes in Cerebral spinal fluid by Manual count,Basophils/leuk NFr CSF Manual,HEM/BC,903
3160-9,Volume of Semen,Specimen vol Smn,FERT,904
38908-0,Poikilocytosis [Presence] in Blood by Automated count,Poikilocytosis Bld Ql Auto,HEM/BC,905
13517-8,Lymphocytes Variant/100 leukocytes in Cerebral spinal fluid by Manual count,Variant Lymphs/leuk NFr CSF Manual,HEM/BC,906
20505-4,Bilirubin [Mass/volume] in Urine by Test strip,Bilirub Ur Strip-mCnc,UA,907
13529-3,Nucleated erythrocytes [#/volume] in Cerebral spinal fluid by Manual count,nRBC # CSF Manual,HEM/BC,908
10329-1,Monocytes/100 leukocytes in Cerebral spinal fluid by Manual count,Monocytes/leuk NFr CSF Manual,HEM/BC,909
26472-1,Leukocytes other/100 leukocytes in Cerebral spinal fluid,WBC Other/leuk NFr CSF,HEM/BC,910
13508-7,Hematocrit [Volume Fraction] of Cerebral spinal fluid by Centrifugation,Hct VFr CSF Spun,HEM/BC,911
11135-1,Appearance of Spun Cerebral spinal fluid,Appearance spun CSF,SPEC,912
13525-1,Nonhematic cells/100 leukocytes in Cerebral spinal fluid by Manual count,Nonhematic Cells/leuk NFr CSF Manual,HEM/BC,913
1530-5,Glucose [Mass/volume] in Serum or Plasma --3 hours post 100 g glucose PO,Glucose 3h p 100 g Glc PO SerPl-mCnc,CHAL,914
28008-1,Cytomegalovirus DNA [Presence] in Blood by Probe & signal amplification method,CMV DNA Bld Ql bDNA,MICRO,915
6244-8,Sheep Sorrel IgE Ab [Units/volume] in Serum,Sheep Sorrel IgE Qn,Allergy,916
6219-0,Pork IgE Ab [Units/volume] in Serum,Pork IgE Qn,Allergy,917
11050-2,Immunoglobulin light chains.kappa [Mass/volume] in Serum,Kappa LC SerPl-mCnc,Chem,918
783-1,Promyelocytes/100 leukocytes in Blood by Manual count,Promyelocytes/leuk NFr Bld Manual,HEM/BC,919
2254-1,Estrogen [Mass/volume] in Serum or Plasma,Estrogen SerPl-mCnc,Chem,920
11064-3,Urea nitrogen [Mass/volume] in Serum or Plasma --post dialysis,BUN p dialysis SerPl-mCnc,Chem,921
6273-7,Walnut IgE Ab [Units/volume] in Serum,Walnut IgE Qn,Allergy,922
14638-1,Calculus analysis [interpretation] in Stone,Stone Analysis-Imp,Chem,923
8191-9,Cocaine [Presence] in Serum or Plasma by Screen method,Cocaine SerPl Ql Scn,DRUG/TOX,924
13068-2,Nuclear Ab pattern [interpretation] in Serum by Immunofluorescence,ANA Pat Ser IF-Imp,SERO,925
8149-7,Amphetamines [Presence] in Serum or Plasma by Screen method,Amphetamines SerPl Ql Scn,DRUG/TOX,926
6153-1,Kentucky blue grass IgE Ab [Units/volume] in Serum,Kent blue grass IgE Qn,Allergy,927
20438-8,Glucose [Mass/volume] in Serum or Plasma --1 hour post dose glucose,Glucose 1h p Glc SerPl-mCnc,CHAL,928
26524-9,Promyelocytes/100 leukocytes in Blood,Promyelocytes/leuk NFr Bld,HEM/BC,929
8234-7,Phencyclidine [Presence] in Meconium by Screen method,PCP Mec Ql Scn,DRUG/TOX,930
11065-0,Urea nitrogen [Mass/volume] in Serum or Plasma --pre dialysis,BUN pre dial SerPl-mCnc,Chem,931
19141-1,Propoxyphene [Presence] in Urine,Propoxyph Ur Ql,DRUG/TOX,932
19415-9,Tetrahydrocannabinol [Presence] in Urine by Screen method,THC Ur Ql Scn,DRUG/TOX,933
35741-8,Prostate specific Ag [Mass/volume] in Serum or Plasma by Detection limit = 0.01 ng/mL,PSA SerPl DL<=0.01 ng/mL-mCnc,Chem,934
6265-3,Timothy IgE Ab [Units/volume] in Serum,Timothy IgE Qn,Allergy,935
6233-1,Rough Pigweed IgE Ab [Units/volume] in Serum,Rough Pigweed IgE Qn,Allergy,936
4090-7,Vancomycin [Mass/volume] in Serum or Plasma --peak,Vancomycin Peak SerPl-mCnc,DRUG/TOX,937
2026-3,"Carbon dioxide, total [Moles/volume] in Arterial blood",CO2 BldA-sCnc,Chem,938
2714-4,Fractional oxyhemoglobin in Arterial blood,OxyHgb MFr BldA,Chem,939
22131-7,Borrelia burgdorferi IgG+IgM Ab [Presence] in Serum,B burgdor IgG+IgM Ser Ql,MICRO,940
5404-9,Varicella zoster virus IgM Ab [Units/volume] in Serum by Immunoassay,VZV IgM Ser IA-aCnc,MICRO,941
2923-1,Retinol [Mass/volume] in Serum or Plasma,Vit A SerPl-mCnc,Chem,942
33718-8,Cytology report of Tissue fine needle aspirate Cyto stain,Cytology Tiss FNA Doc Cyto,CYTO,943
8112-5,CD3-CD16+CD56+ (Natural killer) cells/100 cells in Blood,CD3-CD16+CD56+ Cells NFr Bld,CELLMARK,944
19774-9,Cytology study comment Cervical or vaginal smear or scraping Cyto stain,Cytology Cmnt Cvx/Vag Cyto-Imp,CYTO,945
19128-8,Bacteria identified in Catheter tip by Culture,Bacteria Cath Tip Cult,MICRO,946
6281-0,White mulberry IgE Ab [Units/volume] in Serum,White mulberry IgE Qn,Allergy,947
24013-5,HIV 1 RNA [interpretation] in Serum,HIV1 RNA Ser-Imp,MICRO,948
17780-8,Helicobacter pylori Ag [Presence] in Stool by Immunoassay,H pylori Ag Stl Ql IA,MICRO,949
13169-8,Immunoelectrophoresis [interpretation] for Serum or Plasma,Interpretation SerPl IEP-Imp,Chem,950
15210-8,Thyroglobulin Ab [Presence] in Serum,Thyroglob Ab Ser Ql,SERO,951
4532-8,Complement total hemolytic CH50 [Units/volume] in Serum or Plasma,CH50 SerPl-aCnc,HEM/BC,952
2748-2,pH of Body fluid,pH Fld,Chem,953
26513-2,Neutrophils/100 leukocytes in Body fluid,Neutrophils/leuk NFr Fld,HEM/BC,954
8130-7,CD45 (Lymphs) cells/100 cells in Blood,CD45 Cells NFr Bld,CELLMARK,955
11276-3,Tubular cells [Presence] in Urine sediment by Light microscopy,Tubular Cells UrnS Ql Micro,UA,956
6948-4,Lamotrigine [Mass/volume] in Serum or Plasma,Lamotrigine SerPl-mCnc,DRUG/TOX,957
29641-8,Neutrophil Cytoplasmic Ab atypical [Presence] in Serum by Immunofluorescence,Atyp ANCA Ser Ql IF,SERO,958
5034-4,Streptococcus agalactiae rRNA [Presence] in Unspecified specimen by DNA probe,Gp B Strep rRNA XXX Ql Prb,MICRO,959
773-2,Nucleated erythrocytes/100 erythrocytes in Blood by Manual count,nRBC/100 RBC NFr Bld Manual,HEM/BC,960
35383-9,Galactomannan Ag [Units/volume] in Serum or Plasma,Galactomannan Ag SerPl-aCnc,MICRO,961
22587-0,Treponema pallidum Ab [Presence] in Serum,T pallidum Ab Ser Ql,MICRO,962
6178-8,Mountain Juniper IgE Ab [Units/volume] in Serum,Mt Juniper IgE Qn,Allergy,963
11266-4,Streptococcus agalactiae Ag [Presence] in Unspecified specimen,Gp B Strep Ag XXX Ql,MICRO,964
3663-2,Gentamicin [Mass/volume] in Serum or Plasma --peak,Gentamicin Peak SerPl-mCnc,DRUG/TOX,965
1927-3,Base excess in Venous blood,Base excess BldV Calc-sCnc,Chem,966
5247-2,Mitochondria Ab [Titer] in Serum by Immunofluorescence,Mitochondria Ab Titr Ser IF,SERO,967
5126-8,Cytomegalovirus IgM Ab [Units/volume] in Serum by Immunoassay,CMV IgM Ser IA-aCnc,MICRO,968
48378-4,Immunoglobulin light chains.kappa.free/Immunoglobulin light chains.lambda.free [Mass Ratio] in Serum,Kappa LC Free/Lambda Free Ser,Chem,969
15069-8,Fructosamine [Moles/volume] in Serum or Plasma,Fructosamine SerPl-sCnc,Chem,970
15218-1,Food Allergen Mix 2 (Cod+Blue Mussel+Shrimp+Salmon+Tuna) IgE Ab [Presence] in Serum by Multidisk,Food Allerg Mix2 IgE Ql,Allergy,971
28005-7,MTHFR gene p.C677T [Presence] in Blood or Tissue by Molecular genetics method,MTHFR c.677C>T Bld/T Ql,MOLPATH.MUT,972
8014-3,Rubella virus IgG Ab [Units/volume] in Serum,RUBV IgG Ser-aCnc,MICRO,973
14912-0,Smudge cells/100 leukocytes in Blood by Manual count,Smudge Cells/leuk NFr Bld Manual,HEM/BC,974
12230-9,Macrophages/100 leukocytes in Body fluid by Manual count,Macrophages/leuk NFr Fld Manual,HEM/BC,975
27038-9,Endomysium IgA Ab [Titer] in Serum by Immunofluorescence,Endomysium IgA Titr Ser IF,SERO,976
20573-2,Histoplasma capsulatum mycelial phase Ab [Titer] in Serum by Complement fixation,H capsul Myc Ab Titr Ser CF,MICRO,977
6246-3,Shrimp IgE Ab [Units/volume] in Serum,Shrimp IgE Qn,Allergy,978
42176-8,"1,3 beta glucan [Mass/volume] in Serum","1,3 beta glucan Ser-mCnc",MICRO,979
19075-1,Cells Counted Total [#] in Cerebral spinal fluid,Total Cells Counted CSF,HEM/BC,980
33910-1,Rheumatoid factor [Presence] in Serum,Rheumatoid fact Ser Ql,SERO,981
9822-8,Bacteria identified in Dialysis fluid by Culture,Bacteria Dial fld Cult,MICRO,982
931-6,Blood product source [Type],Bld Prod Source BPU,BLDBK,983
32140-6,Hemoglobin F [Presence] in Blood by Kleihauer-Betke method,Hgb F Bld Ql Kleih Betke,HEM/BC,984
53982-5,Centromere protein B Ab [Units/volume] in Serum,Centromere B Ab Ser-aCnc,SERO,985
51775-5,Chromatin Ab [Units/volume] in Serum or Plasma,Chromatin Ab SerPl-aCnc,SERO,986
19295-5,Opiates [Presence] in Urine by Screen method,Opiates Ur Ql Scn,DRUG/TOX,987
24011-9,Hepatitis C virus Ab band pattern [interpretation] in Serum by Immunoblot (IB),HCV Ab Patrn Ser IB-Imp,MICRO,988
5187-0,Hepatitis B virus core Ab [Units/volume] in Serum by Immunoassay,HBV core Ab Ser IA-aCnc,MICRO,989
2963-7,Somatotropin [Mass/volume] in Serum or Plasma,GH SerPl-mCnc,Chem,990
13530-1,Nucleated erythrocytes [#/volume] in Body fluid by Manual count,nRBC # Fld Manual,HEM/BC,991
6082-2,Codfish IgE Ab [Units/volume] in Serum,Codfish IgE Qn,Allergy,992
6156-4,Goosefoot IgE Ab [Units/volume] in Serum,Goosefoot IgE Qn,Allergy,993
6186-1,Nettle IgE Ab [Units/volume] in Serum,Nettle IgE Qn,Allergy,994
11565-9,Jo-1 extractable nuclear Ab [Units/volume] in Serum,ENA Jo1 Ab Ser-aCnc,SERO,995
30376-8,Blasts [#/volume] in Blood,Blasts # Bld,HEM/BC,996
35676-6,Chloride [Moles/volume] in unspecified time Urine,Chloride ?Tm Ur-sCnc,Chem,997
32637-1,Urease [Presence] in Tissue,Urease Tiss Ql,MICRO,998
46248-1,Borrelia burgdorferi IgG & IgM [interpretation] in Serum by Immunoassay,B burgdor IgG+IgM Ser IA-Imp,MICRO,999
1721-0,Adenosine triphosphate [Mass/volume] in Blood,ATP Bld-mCnc,Chem,1000
9780-8,Spermatozoa [#/volume] in Semen,Sperm # Smn,FERT,1001
6002-0,Platelet factor 4 [Units/volume] in Platelet poor plasma,PF4 PPP-aCnc,COAG,1002
6014-5,von Willebrand factor (vWf) ristocetin cofactor actual/normal in Platelet poor plasma by Aggregation,vWf:RCo Act/Nor PPP Aggr,COAG,1003
20475-0,Cytomegalovirus IgG Ab [interpretation] in Serum,CMV IgG Ser-Imp,MICRO,1004
33248-6,Diabetes status [Identifier],Diabetes status Patient,MISC,1005
33006-8,Cytomegalovirus DNA [#/volume] (viral load) in Unspecified specimen by Probe & target amplification method,CMV DNA # XXX PCR,MICRO,1006
22415-4,Mumps virus IgG Ab [Presence] in Serum,MuV IgG Ser Ql,MICRO,1007
6476-6,Mumps virus IgG Ab [Presence] in Serum by Immunoassay,MuV IgG Ser Ql IA,MICRO,1008
49053-2,History of neural tube defect Narrative,Hx of NTD Narr,Chem,1009
21024-5,Pathologist interpretation of Cerebral spinal fluid tests,Path Interp CSF-Imp,PATH,1010
38506-2,Thyroxine (T4) [Presence] in Dried blood spot,T4 DBS Ql,Chem,1011
13522-8,Blasts/100 leukocytes in Body fluid by Manual count,Blasts/leuk NFr Fld Manual,HEM/BC,1012
5274-6,Parvovirus B19 IgM Ab [Units/volume] in Serum by Immunoassay,B19V IgM Ser IA-aCnc,MICRO,1013
5273-8,Parvovirus B19 IgG Ab [Units/volume] in Serum by Immunoassay,B19V IgG Ser IA-aCnc,MICRO,1014
13992-3,Albumin/Protein.total in Urine by Electrophoresis,Albumin MFr Ur Elph,Chem,1015
5393-4,Treponema pallidum Ab [Presence] in Serum by Immunofluorescence,T pallidum Ab Ser Ql IF,MICRO,1016
13990-7,Alpha 1 globulin/Protein.total in Urine by Electrophoresis,Alpha1 Glob MFr Ur Elph,Chem,1017
801-1,Sickle cells [Presence] in Blood by Light microscopy,Sickle Cells Bld Ql Smear,HEM/BC,1018
5568-1,Acetone [Mass/volume] in Serum or Plasma,Acetone SerPl-mCnc,DRUG/TOX,1019
7407-0,White Hickory IgE Ab [Units/volume] in Serum,White Hickory IgE Qn,Allergy,1020
46420-6,Leukocyte clumps [#/area] in Urine sediment by Microscopy high power field,WBC clumps #/area UrnS HPF,UA,1021
30471-7,Levetiracetam [Mass/volume] in Serum or Plasma,Levetiracetam SerPl-mCnc,DRUG/TOX,1022
40750-2,Epstein Barr virus capsid IgG Ab [Presence] in Serum by Immunofluorescence,EBV VCA IgG Ser Ql IF,MICRO,1023
6019-4,Almond IgE Ab [Units/volume] in Serum,Almond IgE Qn,Allergy,1024
41874-9,White Birch IgE Ab [Units/volume] in Serum,White Birch IgE Qn,Allergy,1025
2466-1,IgG subclass 1 [Mass/volume] in Serum,IgG1 Ser-mCnc,Chem,1026
6968-2,Proteinase 3 Ab [Units/volume] in Serum,Proteinase3 Ab Ser-aCnc,SERO,1027
42768-2,HIV 1 & 2 Ab [interpretation] in Serum Narrative,HIV 1 & 2 Ab Ser-Imp,MICRO,1028
16126-5,Helicobacter pylori IgG Ab [Presence] in Serum,H pylori IgG Ser Ql,MICRO,1029
11258-1,Hepatitis B virus DNA [Units/volume] in Serum,HBV DNA Ser-aCnc,MICRO,1030
667-6,Microscopic observation [Identifier] in Unspecified specimen by KOH preparation,KOH Prep XXX,MICRO,1031
1747-5,Albumin [Mass/volume] in Body fluid,Albumin Fld-mCnc,Chem,1032
9586-9,Borrelia burgdorferi Ab [interpretation] in Serum,B burgdor Ab Ser-Imp,MICRO,1033
681-7,Microscopic observation [Identifier] in Unspecified specimen by Wright stain,Wright Stn XXX,MICRO,1034
6942-7,Albumin [Mass/volume] in Urine by Electrophoresis,Albumin Ur Elph-mCnc,Chem,1035
6969-0,Myeloperoxidase Ab [Units/volume] in Serum,Myeloperoxidase Ab Ser-aCnc,SERO,1036
6183-8,Mugwort IgE Ab [Units/volume] in Serum,Mugwort IgE Qn,Allergy,1037
3719-2,Lithium [Mass/volume] in Serum or Plasma,Lithium SerPl-mCnc,DRUG/TOX,1038
2469-5,IgG subclass 4 [Mass/volume] in Serum,IgG4 Ser-mCnc,Chem,1039
2467-9,IgG subclass 2 [Mass/volume] in Serum,IgG2 Ser-mCnc,Chem,1040
2468-7,IgG subclass 3 [Mass/volume] in Serum,IgG3 Ser-mCnc,Chem,1041
32146-3,Platelets Large [Presence] in Blood by Light microscopy,Lg Platelets Bld Ql Smear,HEM/BC,1042
14277-8,Neutrophil cytoplasmic Ab.classic [Titer] in Serum by Immunofluorescence,c-ANCA Titr Ser IF,SERO,1043
14278-6,Neutrophil cytoplasmic Ab.perinuclear [Titer] in Serum by Immunofluorescence,p-ANCA Titr Ser IF,SERO,1044
17864-0,Calcium.ionized [Mass/volume] in Serum or Plasma by Ion-selective membrane electrode (ISE),Ca-I SerPl ISE-mCnc,Chem,1045
48344-6,Kaolin activated time in Platelet poor plasma,ACT PPP Kaolin induc,COAG,1046
28637-7,Base deficit in Venous cord blood,Base deficit BldCoV-sCnc,Chem,1047
18500-9,Microscopic observation [Identifier] in Cervix by Cyto stain.thin prep,Thin Prep Cvx,CYTO,1048
13987-3,Alpha 2 globulin/Protein.total in 24 hour Urine by Electrophoresis,Alpha2 Glob 24h MFr Ur Elph,Chem,1049
13989-9,Gamma globulin/Protein.total in 24 hour Urine by Electrophoresis,Gamma glob 24h MFr Ur Elph,Chem,1050
78012-2,Streptococcus pyogenes Ag [Presence] in Throat by Rapid immunoassay,S pyo Ag Throat Ql IA.rapid,MICRO,1051
34661-9,Actin IgG Ab [Units/volume] in Serum or Plasma,Actin IgG SerPl-aCnc,SERO,1052
41274-2,Alpha-1-Fetoprotein interpretation [interpretation] in Serum or Plasma,AFP Interp SerPl-Imp,Chem,1053
33719-6,Flow cytometry study,,ATTACH.CLINRPT,1054
5158-1,Epstein Barr virus capsid IgG Ab [Titer] in Serum by Immunofluorescence,EBV VCA IgG Titr Ser IF,MICRO,1055
24476-4,F2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,F2 gene Mut Anal Bld/T,MOLPATH.MUT,1056
3052-8,Triiodothyronine (T3).reverse [Mass/volume] in Serum or Plasma,T3Reverse SerPl-mCnc,Chem,1057
25700-6,Immunofixation [interpretation] for Serum or Plasma,Interpretation SerPl IFE-Imp,Chem,1058
4049-3,Theophylline [Mass/volume] in Serum or Plasma,Theophylline SerPl-mCnc,DRUG/TOX,1059
11878-6,Number of fetuses by US,# Fetuses US,OB.US,1060
2147-7,Cortisol Free [Mass/time] in 24 hour Urine,Cortis F 24h Ur-mRate,Chem,1061
21020-3,Bacteria identified in Unspecified specimen by Anaerobe+Aerobe culture,Bacteria XXX Anaerobe+Aerobe Cult,MICRO,1062
19108-0,Histoplasma capsulatum Ag [Presence] in Serum,H capsul Ag Ser Ql,MICRO,1063
44525-4,Histoplasma capsulatum Ag [Presence] in Serum by Immunoassay,H capsul Ag Ser Ql IA,MICRO,1064
2115-4,Choriogonadotropin.beta subunit free [Moles/volume] in Serum or Plasma,B-HCG Free SerPl-sCnc,Chem,1065
32167-9,Clarity of Urine,Clarity Ur,SPEC,1066
26518-1,Polymorphonuclear cells/100 leukocytes in Body fluid,Polys/leuk NFr Fld,HEM/BC,1067
19076-9,Cells Counted Total [#] in Unspecified specimen,Total Cells Counted XXX,HEM/BC,1068
33673-5,Thrombin time.factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of protamine sulfate,TT imm SO4 PPP,COAG,1069
32133-1,Lactate [Moles/volume] in Plasma venous,Lactate PlasV-sCnc,Chem,1070
12286-1,Drugs identified in Urine by Screen method,Drugs Ur Scn,DRUG/TOX,1071
6263-8,American Sycamore IgE Ab [Units/volume] in Serum,Amer Sycamore IgE Qn,Allergy,1072
5095-5,Coccidioides immitis Ab [Presence] in Serum by Immune diffusion (ID),C immitis Ab Ser Ql ID,MICRO,1073
8187-7,Benzoylecgonine [Presence] in Meconium,BZE Mec Ql,DRUG/TOX,1074
13994-9,Beta globulin/Protein.total in Urine by Electrophoresis,B-Globulin MFr Ur Elph,Chem,1075
26523-1,Promyelocytes [#/volume] in Blood,Promyelocytes # Bld,HEM/BC,1076
6098-8,Dog dander IgE Ab [Units/volume] in Serum,Dog Dander IgE Qn,Allergy,1077
22310-7,Helicobacter pylori Ab [Presence] in Serum,H pylori Ab Ser Ql,MICRO,1078
20124-4,Ventilation mode [Identifier] Ventilator,Ventilation mode Vent,PULM,1079
6107-7,Egg yolk IgE Ab [Units/volume] in Serum,Egg Yolk IgE Qn,Allergy,1080
6604-3,Influenza virus identified in Unspecified specimen by Organism specific culture,FLUV XXX Cult,MICRO,1081
28647-6,pH of Venous cord blood,pH BldCoV,Chem,1082
6800-7,Spermatozoa Motile/100 spermatozoa in Semen,Sperm Motile NFr Smn,FERT,1083
6718-1,Cashew Nut IgE Ab [Units/volume] in Serum,Cashew nut IgE Qn,Allergy,1084
5181-3,Hepatitis A virus IgM Ab [Units/volume] in Serum by Immunoassay,HAV IgM Ser IA-aCnc,MICRO,1085
1961-2,Bicarbonate [Moles/volume] in Capillary blood,HCO3 BldC-sCnc,Chem,1086
28646-8,pH of Arterial cord blood,pH BldCoA,Chem,1087
